Area	Year	Value	Flag Description
American Samoa	2011	72	FAO data based on imputation methodology
American Samoa	2012	72	FAO data based on imputation methodology
American Samoa	2013	72	FAO data based on imputation methodology
American Samoa	2014	72	FAO data based on imputation methodology
Australia	2011	293	FAO data based on imputation methodology
Australia	2012	27	FAO data based on imputation methodology
Australia	2013	27	FAO data based on imputation methodology
Australia	2014	0	FAO estimate
Austria	2011	0	FAO data based on imputation methodology
Austria	2012	0	FAO data based on imputation methodology
Austria	2013	0	FAO data based on imputation methodology
Austria	2014	0	FAO estimate
Bangladesh	2011	15614	FAO data based on imputation methodology
Bangladesh	2012	16252	FAO data based on imputation methodology
Bangladesh	2013	18101	FAO data based on imputation methodology
Bangladesh	2014	17911	FAO data based on imputation methodology
Barbados	2011	0	FAO data based on imputation methodology
Barbados	2012	0	FAO data based on imputation methodology
Barbados	2013	0	FAO data based on imputation methodology
Barbados	2014	0	FAO estimate
Belgium	2011	0	FAO data based on imputation methodology
Belgium	2012	0	FAO data based on imputation methodology
Belgium	2013	0	FAO data based on imputation methodology
Belgium	2014	0	FAO estimate
Belize	2011		Data not available
Belize	2012		Data not available
Belize	2013		Data not available
Belize	2014		Data not available
Benin	2011	1500	FAO estimate
Benin	2012	1600	FAO estimate
Benin	2013	1560	FAO data based on imputation methodology
Benin	2014	1560	FAO data based on imputation methodology
Brazil	2011	2000	Unofficial figure
Brazil	2012	2000	Unofficial figure
Brazil	2013	2000	Unofficial figure
Brazil	2014	2000	Unofficial figure
Cambodia	2011	10395	FAO data based on imputation methodology
Cambodia	2012	10238	FAO data based on imputation methodology
Cambodia	2013	10796	FAO data based on imputation methodology
Cambodia	2014	11340	FAO data based on imputation methodology
Cameroon	2011	900	FAO data based on imputation methodology
Cameroon	2012	990	FAO data based on imputation methodology
Cameroon	2013	990	FAO data based on imputation methodology
Cameroon	2014	900	FAO data based on imputation methodology
"China, Hong Kong SAR"	2011	331	FAO data based on imputation methodology
"China, Hong Kong SAR"	2012	387	FAO data based on imputation methodology
"China, Hong Kong SAR"	2013	387	FAO data based on imputation methodology
"China, Hong Kong SAR"	2014	406	FAO data based on imputation methodology
Colombia	2011	0	FAO data based on imputation methodology
Colombia	2012	87	Official data
Colombia	2013	89	Official data
Colombia	2014	90	FAO estimate
Comoros	2011	5160	FAO data based on imputation methodology
Comoros	2012	5160	FAO data based on imputation methodology
Comoros	2013	5160	FAO data based on imputation methodology
Comoros	2014	5400	FAO data based on imputation methodology
Cook Islands	2011	0	FAO data based on imputation methodology
Cook Islands	2012	0	FAO data based on imputation methodology
Cook Islands	2013	0	FAO data based on imputation methodology
Cook Islands	2014	0	FAO data based on imputation methodology
Costa Rica	2011	132	FAO data based on imputation methodology
Costa Rica	2012	539	FAO data based on imputation methodology
Costa Rica	2013	248	FAO data based on imputation methodology
Costa Rica	2014	128	FAO data based on imputation methodology
C?te d'Ivoire	2011	31803	FAO data based on imputation methodology
C?te d'Ivoire	2012	29440	FAO data based on imputation methodology
C?te d'Ivoire	2013	29430	FAO data based on imputation methodology
C?te d'Ivoire	2014	29430	FAO data based on imputation methodology
Czechia	2012		Data not available
Czechia	2013		Data not available
Czechia	2014		Data not available
Denmark	2011	50	FAO data based on imputation methodology
Denmark	2012	60	FAO data based on imputation methodology
Denmark	2013	47	FAO data based on imputation methodology
Denmark	2014	47	FAO data based on imputation methodology
Dominica	2011	500	FAO estimate
Dominica	2012	500	FAO estimate
Dominica	2013	500	FAO estimate
Dominica	2014	520	FAO estimate
Dominican Republic	2011	7300	Unofficial figure
Dominican Republic	2012	7300	Unofficial figure
Dominican Republic	2013	7300	Unofficial figure
Dominican Republic	2014	7300	Unofficial figure
Ecuador	2011	2112	FAO data based on imputation methodology
Ecuador	2012	2053	FAO data based on imputation methodology
Ecuador	2013	2068	FAO data based on imputation methodology
Ecuador	2014	2112	FAO data based on imputation methodology
El Salvador	2011	960	FAO data based on imputation methodology
El Salvador	2012	1056	FAO data based on imputation methodology
El Salvador	2013	1085	FAO data based on imputation methodology
El Salvador	2014	1308	FAO data based on imputation methodology
Fiji	2011	4765	Official data
Fiji	2012	4977	Official data
Fiji	2013	5225	Official data
Fiji	2014	3990	Official data
Finland	2011	3	FAO data based on imputation methodology
Finland	2012	4	FAO data based on imputation methodology
Finland	2013	0	FAO data based on imputation methodology
Finland	2014	0	FAO estimate
France	2011	0	FAO data based on imputation methodology
France	2012	0	FAO data based on imputation methodology
France	2013	0	FAO data based on imputation methodology
France	2014	0	FAO data based on imputation methodology
French Polynesia	2011	6456	Official data
French Polynesia	2012	6992	Official data
French Polynesia	2013	6099	Official data
French Polynesia	2014	7250	FAO estimate
Germany	2011		Data not available
Germany	2012		Data not available
Germany	2013		Data not available
Germany	2014		Data not available
Ghana	2011	9900	FAO estimate
Ghana	2012	8578	FAO data based on imputation methodology
Ghana	2013	8516	FAO data based on imputation methodology
Ghana	2014	9000	FAO data based on imputation methodology
Grenada	2011	374	FAO data based on imputation methodology
Grenada	2012	374	FAO data based on imputation methodology
Grenada	2013	374	FAO data based on imputation methodology
Grenada	2014	384	FAO data based on imputation methodology
Guam	2011	1210	FAO data based on imputation methodology
Guam	2012	1210	FAO data based on imputation methodology
Guam	2013	1210	FAO data based on imputation methodology
Guam	2014	1210	FAO data based on imputation methodology
Guinea	2011	1350	FAO data based on imputation methodology
Guinea	2012	1350	FAO data based on imputation methodology
Guinea	2013	1325	FAO data based on imputation methodology
Guinea	2014	1410	FAO data based on imputation methodology
Guinea-Bissau	2011	5859	FAO data based on imputation methodology
Guinea-Bissau	2012	5839	FAO data based on imputation methodology
Guinea-Bissau	2013	5952	FAO data based on imputation methodology
Guinea-Bissau	2014	5985	FAO data based on imputation methodology
Guyana	2011	1330	FAO estimate
Guyana	2012	960	FAO estimate
Guyana	2013	1100	FAO estimate
Guyana	2014	1100	FAO data based on imputation methodology
Honduras	2011	646	FAO data based on imputation methodology
Honduras	2012	646	FAO data based on imputation methodology
Honduras	2013	646	FAO data based on imputation methodology
Honduras	2014	640	FAO data based on imputation methodology
Iceland	2013	0	Official data
Iceland	2014	0	Official data
India	2011	379000	Unofficial figure
India	2012	391800	Unofficial figure
India	2013	433000	Unofficial figure
India	2014	394200	Unofficial figure
Indonesia	2011	840200	Official data
Indonesia	2012	926500	Official data
Indonesia	2013	868000	Unofficial figure
Indonesia	2014	911100	Unofficial figure
Iraq	2011	227	FAO data based on imputation methodology
Iraq	2012	133	FAO data based on imputation methodology
Iraq	2013	27	FAO data based on imputation methodology
Iraq	2014	27	FAO data based on imputation methodology
Ireland	2011	0	FAO data based on imputation methodology
Ireland	2012	0	FAO data based on imputation methodology
Ireland	2013	10	FAO data based on imputation methodology
Ireland	2014	10	FAO estimate
Israel	2011	0	FAO data based on imputation methodology
Israel	2012	0	FAO data based on imputation methodology
Israel	2013	0	FAO data based on imputation methodology
Israel	2014	0	FAO data based on imputation methodology
Italy	2011	83	FAO data based on imputation methodology
Italy	2012	256	FAO data based on imputation methodology
Italy	2013	256	FAO data based on imputation methodology
Italy	2014	512	FAO data based on imputation methodology
Jamaica	2011	11200	FAO data based on imputation methodology
Jamaica	2012	11200	FAO data based on imputation methodology
Jamaica	2013	11200	FAO data based on imputation methodology
Jamaica	2014	11520	FAO data based on imputation methodology
Japan	2011	0	FAO estimate
Japan	2012	0	FAO estimate
Japan	2013	0	FAO estimate
Japan	2014	0	FAO data based on imputation methodology
Kenya	2011	2070	FAO data based on imputation methodology
Kenya	2012	4258	FAO data based on imputation methodology
Kenya	2013	4258	FAO data based on imputation methodology
Kenya	2014	4258	FAO data based on imputation methodology
Kiribati	2011	5026	FAO data based on imputation methodology
Kiribati	2012	3023	FAO data based on imputation methodology
Kiribati	2013	4239	FAO data based on imputation methodology
Kiribati	2014	5539	FAO data based on imputation methodology
Madagascar	2011	6600	FAO data based on imputation methodology
Madagascar	2012	6600	FAO data based on imputation methodology
Madagascar	2013	6601	FAO data based on imputation methodology
Madagascar	2014	6600	FAO data based on imputation methodology
Malaysia	2011	51000	Official data
Malaysia	2012	45400	Unofficial figure
Malaysia	2013	52900	Unofficial figure
Malaysia	2014	58240	Official data
Maldives	2011	19	FAO data based on imputation methodology
Maldives	2012	8	FAO data based on imputation methodology
Maldives	2013	8	FAO data based on imputation methodology
Maldives	2014	10	FAO estimate
Mauritius	2011	13	FAO data based on imputation methodology
Mauritius	2012	13	FAO data based on imputation methodology
Mauritius	2013	13	FAO data based on imputation methodology
Mauritius	2014	64	FAO data based on imputation methodology
Mexico	2011	130400	Unofficial figure
Mexico	2012	134800	Unofficial figure
Mexico	2013	129100	Unofficial figure
Mexico	2014	126600	Unofficial figure
Micronesia (Federated States of)	2011	2898	FAO data based on imputation methodology
Micronesia (Federated States of)	2012	2900	FAO estimate
Micronesia (Federated States of)	2013	3000	FAO estimate
Micronesia (Federated States of)	2014	2898	FAO data based on imputation methodology
Mozambique	2011	21329	Official data
Mozambique	2012	17574	Official data
Mozambique	2013	18388	Official data
Mozambique	2014	18646	Official data
Myanmar	2011	28	FAO data based on imputation methodology
Myanmar	2012	0	FAO data based on imputation methodology
Myanmar	2013	0	FAO data based on imputation methodology
Myanmar	2014	0	FAO estimate
Nepal	2011	1	FAO data based on imputation methodology
Nepal	2012	0	FAO data based on imputation methodology
Nepal	2013	0	FAO data based on imputation methodology
Nepal	2014	0	FAO estimate
Netherlands	2011	0	FAO data based on imputation methodology
